Company Name,Ticker,Cash Flow ,Net Margin,Book Value,Long Term Debt ,Current Liabilities ,Current Assets ,Current Ratio,Debt/Equity Ratio,Last Qtr EPS,12 Mo Trailing EPS,EBITDA ,EBIT ,Annual Sales,Dividend ,Market Value/# Analysts,Current ROA (TTM),ROA (5 Yr Avg),52 Week High,Market Cap ,Div. Yield %,PEG Ratio,Price/Cash Flow,Price/Book,Price/Sales,P/E (Trailing 12 Months),Shares Outstanding ,Current ROE (TTM),Current ROI (TTM),ROI (5 Yr Avg),Operating Margin 12 Mo,Avg Volume
"Agilent Technologies, Inc.","A","980",".15","14.43","1801","1263","4169","3.32","",".67","2.65","1094","882","4472",".52799","2298.67749","9.99","9.0155","74.82","20688.1",".92","2.22","21.23","4.48","4.3","24.4","319.95","18.52","13.36","11.89999","17.95","2558886"
"Alcoa Corp.","AA","1315",".02","38.12","1388","3252","4238","1.42",".27","1.52","4.05","2015","1263","11652","0","1119.6372","4.46","","60.23","7837.46","0",".92","5.92","1.1",".61","10.38","186.47","10.3","8.53","","5.94","4605203"
"Altaba Inc.","AABA","1233.63","","","1299.93994","1287.42004","8126.16015","","","","","316.1","-698.96998","5169.13","0","","","3.28609","82.36","54570.63","0","","52.73","","","","800.51","","","4.0885","","17727056"
"AAC Holdings, Inc.","AAC","37","-.06","5.56","220.99","60.56","111.93","2.59","2.34",".09",".44","9.77","-13.29","317.64","0","81.00612","2.22","5.8687","12.87","243.02","0","","6.41","1.78",".73","22.45","24.6","7.32","2.52","7.3171","3.14","232410.75"
"AAC Technologies Holdings Inc.","AACAY","981.234",".25","2.13","287.20001","1642.40002","2161.81005","1.32","",".23",".57","1104.98999","911.82","3125.65",".19117","12727.12988","","27.426","23.28","12727.13","3.54",".61","12.97","4.9","4.67","18.18","1222","","","39.20399","","30327.5"
"AIA GROUP LTD","AAGIY","6120",".16","14.04","3958","149318","5264",".04","","","","7498","7498","38330",".41242","","","","38.01","102335.66","2.06","","16.72","2.42","","","3018.75","","","","","154146.95"
"Alabama Aircraft Industries Inc.","AAIIQ","","","","","","","","","","","","","","0","","","",".14",".12","0","","","","","","4.13","","","","","66.6"
"Avantair Inc.","AAIR","","","","","","","","","","","","","","0","","","",".01",".16","0","","","","","","40.9","","","","","34717.45"
"American Airlines Group Inc.","AAL","4302",".05","-1.89","22511","14964","9146",".55","-25.16","1.63","4.75","6040","4137","42207",".4","1740.26342","4.31","7.44659","58.47","17402.63","1.06",".77","4.2","",".4","7.96","460.51","151.06","9.57","6.6612","5.2","5888052"
"Altisource Asset Management Corp","AAMC","-6.66901","-.38","-123.99","0","7.73","58.40999","13.6","0","-.69","-4.14","-5.96001","-6.26001","18.16","0","","-11.54","-3.4506","109.35","103.49","0","","","","6.28","","1.61","","-12.76","-3.59271","-39.47","903.8"
